persons,prediction,reference,pred.score
person1,female,male,0.001277981325984
person2,male,male,0.535067348740995
person3,female,male,0.441446929005906
person4,male,female,0.572912907227874
person5,male,male,0.754301520762965
person6,male,male,0.641660117544234
person7,male,female,0.759229088202119
person8,female,female,0.310008234344423
person9,female,female,0.443470730213448
person10,female,female,0.178832661826164
person11,male,female,0.778916853712872
person12,female,male,0.316324701299891
person13,male,female,0.58923322102055
person14,male,male,0.626294741872698
person15,male,female,0.848799026804045
person16,female,female,0.373184080701321
person17,male,male,0.515453754924238
person18,male,male,0.650832209270447
person19,female,female,0.371026300126687
person20,male,female,0.609025360317901
person21,male,female,0.599352551391348
person22,male,female,0.660604045260698
person23,female,female,0.459740348393098
person24,female,female,0.293003535596654
person25,male,female,0.96443722769618
person26,male,male,0.58874089946039
person27,male,female,0.668769020587206
person28,male,male,0.686709575355053
person29,male,male,0.705540120368823
person30,female,female,0.2812058867421
person31,male,female,0.954532109200954
person32,female,male,0.305193135980517
person33,male,female,0.984442730434239
person34,female,female,0.169686840614304
person35,male,female,0.948089897399768
person36,male,female,0.911239894805476
person37,male,female,0.946124869864434
person38,male,male,0.816531682154164
person39,female,male,0.203579455148429
